Ex max (nm),Em max (nm),Stokes Shift (nm),Extinction Coefficient,Quantum Yield,Brightness
504.0,510.0,6.0,170000.0,0.97,164.9
485.0,510.0,25.0,209916.0,0.76,159.54
497.0,506.0,9.0,169000.0,0.93,157.17
496.0,505.0,9.0,159000.0,0.93,147.87
496.0,506.0,10.0,159000.0,0.93,147.87
496.0,506.0,10.0,157000.0,0.93,146.01
496.0,504.0,8.0,162000.0,0.9,145.8
496.0,506.0,10.0,156000.0,0.93,145.08
513.0,524.0,11.0,150000.0,0.95,142.5
496.0,504.0,8.0,155000.0,0.91,141.05
499.0,509.0,10.0,175000.0,0.79,138.25
499.0,510.0,11.0,164000.0,0.83,136.12
497.0,504.0,7.0,145000.0,0.87,126.15
512.0,519.0,7.0,133000.0,0.92,122.36
500.0,512.0,12.0,120900.0,1.0,120.9
500.0,508.0,8.0,128000.0,0.93,119.04
556.0,583.0,27.0,134000.0,0.88,117.92
506.0,516.0,10.0,130000.0,0.89,115.7
513.0,524.0,11.0,125000.0,0.9,112.5
497.0,508.0,11.0,127000.0,0.86,109.22
491.0,503.0,12.0,107000.0,1.0,107.0
514.0,523.0,9.0,142000.0,0.75,106.5
496.0,507.0,11.0,125800.0,0.8,100.64
504.0,515.0,11.0,145700.0,0.67,97.62
515.0,528.0,13.0,65000.0,0.48,96.97
554.0,581.0,27.0,138000.0,0.69,95.22
502.0,514.0,12.0,98600.0,0.96,94.66
497.0,510.0,13.0,124200.0,0.75,93.15
506.0,517.0,11.0,116000.0,0.8,92.8
505.0,515.0,10.0,118200.0,0.73,86.29
506.0,518.0,12.0,109000.0,0.78,85.02
505.0,515.0,10.0,111000.0,0.76,84.36
491.0,503.0,12.0,83700.0,1.0,83.7
505.0,520.0,15.0,111000.0,0.74,82.14
552.0,579.0,27.0,120000.0,0.68,81.6
517.0,530.0,13.0,104000.0,0.77,80.08
569.0,592.0,23.0,104000.0,0.75,78.0
499.0,513.0,14.0,95400.0,0.8,76.32
566.0,585.0,19.0,144000.0,0.53,76.32
506.0,520.0,14.0,109800.0,0.69,75.76
514.0,527.0,13.0,99000.0,0.76,75.24
492.0,506.0,14.0,102500.0,0.73,74.83
483.0,500.0,17.0,76700.0,0.96,73.63
485.0,510.0,25.0,104958.0,0.7,73.47
503.0,514.0,11.0,101800.0,0.72,73.3
489.0,504.0,15.0,99000.0,0.74,73.26
491.0,503.0,12.0,85000.0,0.86,73.1
491.0,505.0,14.0,79000.0,0.92,72.68
491.0,505.0,14.0,79000.0,0.92,72.68
491.0,511.0,20.0,105000.0,0.68,71.4
487.0,502.0,15.0,98000.0,0.72,70.56
513.0,525.0,12.0,110000.0,0.64,70.4
569.0,594.0,25.0,100000.0,0.7,70.0
516.0,529.0,13.0,94000.0,0.74,69.56
505.0,517.0,12.0,144000.0,0.48,69.12
525.0,537.0,12.0,115000.0,0.6,69.0
515.0,527.0,12.0,101000.0,0.68,68.68
509.0,522.0,13.0,98000.0,0.7,68.6
515.0,531.0,16.0,107000.0,0.64,68.48
568.0,592.0,24.0,105000.0,0.65,68.25
